title | The Codexian Saga
author | The Barbarian

index

chapter | h2 | 1. The Choicening | http://www.rpgcodex.net/forums/index.php?posts/1137313
chapter | h2 | 2. The Consequencing | http://www.rpgcodex.net/forums/index.php?posts/1137367
chapter | h2 | 3. The Future is Here | http://www.rpgcodex.net/forums/index.php?posts/1137457
chapter | h2 | 3b. The Future is Here: The Second Attempt | http://www.rpgcodex.net/forums/index.php?posts/1137480
chapter | h2 | 4. A Great Penis Across the Stars | http://www.rpgcodex.net/forums/index.php?posts/1137666
chapter | h2 | 5. Oh, noes! | http://www.rpgcodex.net/forums/index.php?posts/1137838
chapter | h2 | 6. Codexia Wants You! | http://www.rpgcodex.net/forums/index.php?posts/1138295
chapter | h2 | 7. The War of the Penis Ring: Continued | http://www.rpgcodex.net/forums/index.php?posts/1138372
chapter | h2 | 8. War Pigs | http://www.rpgcodex.net/forums/index.php?posts/1138496
chapter | h2 | 9. The End of the Beginning | http://www.rpgcodex.net/forums/index.php?posts/1138717
chapter | h2 | 10. Shits-n-Giggles: The Raumen and You | http://www.rpgcodex.net/forums/index.php?posts/1139047
chapter | h2 | 11. Pax Codexiana | http://www.rpgcodex.net/forums/index.php?posts/1139155
chapter | h2 | 12. Codexia uber alles: The Genetic Intermission | http://www.rpgcodex.net/forums/index.php?posts/1139436
chapter | h2 | 13. Codexia the Brave | http://www.rpgcodex.net/forums/index.php?posts/1140444
chapter | h2 | 14. The Chase Scene | http://www.rpgcodex.net/forums/index.php?posts/1140640
chapter | h2 | 15. Behind the Curtains | http://www.rpgcodex.net/forums/index.php?posts/1140950
chapter | h2 | 16. Codexia Goes Forth! | http://www.rpgcodex.net/forums/index.php?posts/1141872
chapter | h2 | 17. Turning Points | http://www.rpgcodex.net/forums/index.php?posts/1142243
chapter | h2 | 18. War Stories | http://www.rpgcodex.net/forums/index.php?posts/1142606
chapter | h2 | 19. Cry Havoc, and Let Loose the Dogs of War! | http://www.rpgcodex.net/forums/index.php?posts/1143129
chapter | h2 | 20. The Great Dying | http://www.rpgcodex.net/forums/index.php?posts/1143548
chapter | h2 | 21. Codex Entry: The Phyr | http://www.rpgcodex.net/forums/index.php?posts/1144103
chapter | h2 | 22. The River of Death | http://www.rpgcodex.net/forums/index.php?posts/1144783
chapter | h2 | 23. The Aftermath | http://www.rpgcodex.net/forums/index.php?posts/1145374
chapter | h2 | 24. Dreams of the Future | http://www.rpgcodex.net/forums/index.php?posts/1146276
chapter | h2 | 25. Fate and Destiny | http://www.rpgcodex.net/forums/index.php?posts/1147390
chapter | h2 | 26. State of the Union, 250AU | http://www.rpgcodex.net/forums/index.php?posts/1147777
chapter | h2 | 27. Where No Man Has Gone Before | http://www.rpgcodex.net/forums/index.php?posts/1148499
chapter | h2 | 28. Codexia, the Unbound | http://www.rpgcodex.net/forums/index.php?posts/1149969
chapter | h2 | 29. The Feast of Bones | http://www.rpgcodex.net/forums/index.php?posts/1151118
chapter | h2 | 30. The Winter of Discontent, Raumeni-style | http://www.rpgcodex.net/forums/index.php?posts/1152289
