title | Epic - Book One: The Epic of Ean

author | treave

index

chapter | h2 | Chapter One: Humble Beginnings
chapter | h3 | Chapter 1.1: To The Beginning | http://www.rpgcodex.net/forums/index.php?posts/2155328
chapter | h3 | Chapter 1.2: A Small Step | http://www.rpgcodex.net/forums/index.php?posts/2155382
chapter | h3 | Chapter 1.3: The First Power | http://www.rpgcodex.net/forums/index.php?posts/2156556
chapter | h3 | Chapter 1.4: Sargon's Ambition | http://www.rpgcodex.net/forums/index.php?posts/2157133
chapter | h3 | Chapter 1.5: The Battle for Memphis | http://www.rpgcodex.net/forums/index.php?posts/2157301
chapter | h3 | Chapter 1.6: Tendrils in the Desert | http://www.rpgcodex.net/forums/index.php?posts/2159423
chapter | h3 | Chapter 1.7: Memphis Falls | http://www.rpgcodex.net/forums/index.php?posts/2160405
chapter | h3 | Chapter 1.8: Return to Sumeria | http://www.rpgcodex.net/forums/index.php?posts/2160547
chapter | h3 | Chapter 1.9: A Hand for Trust | http://www.rpgcodex.net/forums/index.php?posts/2160827
chapter | h3 | Chapter 1.10: At the Walls of Akkad | http://www.rpgcodex.net/forums/index.php?posts/2162026
chapter | h3 | Chapter 1.11: Prince's Folly | http://www.rpgcodex.net/forums/index.php?posts/2162953
chapter | h3 | Chapter 1.12: Dam If You Do | http://www.rpgcodex.net/forums/index.php?posts/2163648
chapter | h3 | Chapter 1.13: The Flood of Akkad | http://www.rpgcodex.net/forums/index.php?posts/2166641

chapter | h2 | Interlude: Ean of the Akkadian Empire (circa 2300 B.C.) | http://www.rpgcodex.net/forums/index.php?posts/2167937

chapter | h2 | Chapter Two: Lord of Sumeria
chapter | h3 | Chapter 2.1: King | http://www.rpgcodex.net/forums/index.php?posts/2167394
chapter | h3 | Chapter 2.2: Ten Years Later | http://www.rpgcodex.net/forums/index.php?posts/2168687
chapter | h3 | Chapter 2.3: The Empty City | http://www.rpgcodex.net/forums/index.php?posts/2170080
chapter | h3 | Chapter 2.4: Tuwanu of the Dead | http://www.rpgcodex.net/forums/index.php?posts/2171674
chapter | h3 | Chapter 2.5: Battle Plans | http://www.rpgcodex.net/forums/index.php?posts/2172915
chapter | h3 | Chapter 2.6: Cautious Commander | http://www.rpgcodex.net/forums/index.php?posts/2175518
chapter | h3 | Chapter 2.7: Misstep | http://www.rpgcodex.net/forums/index.php?posts/2176531
chapter | h3 | Chapter 2.8: Sumeria Again | http://www.rpgcodex.net/forums/index.php?posts/2178014

chapter | h2 | Interlude: Ean, Sumerian Wanderer (circa 2000 B.C.) | http://www.rpgcodex.net/forums/index.php?posts/2179201

chapter | h2 | Chapter Three: The Sands of Egypt
chapter | h3 | Chapter 3.1: End of the Old Kingdom | http://www.rpgcodex.net/forums/index.php?posts/2179196
chapter | h2 | Intermission: The Gieloth Cult | http://www.rpgcodex.net/forums/index.php?posts/2180631
chapter | h3 | Chapter 3.2: Before Heliopolis | http://www.rpgcodex.net/forums/index.php?posts/2180662
chapter | h3 | Chapter 3.3: Heliopolis - The Night Before the Storm | http://www.rpgcodex.net/forums/index.php?posts/2181159
chapter | h3 | Chapter 3.4: Beneath the Temple | http://www.rpgcodex.net/forums/index.php?posts/2183037
chapter | h3 | Chapter 3.5: Fight in the Dark | http://www.rpgcodex.net/forums/index.php?posts/2184067
chapter | h3 | Chapter 3.6: Incubator | http://www.rpgcodex.net/forums/index.php?posts/2185245
chapter | h3 | Chapter 3.7: Smothered Flames | http://www.rpgcodex.net/forums/index.php?posts/2186118
chapter | h3 | Chapter 3.8: Deadly Herbivores | http://www.rpgcodex.net/forums/index.php?posts/2187361
chapter | h3 | Chapter 3.9: The Sceptre of Ra | http://www.rpgcodex.net/forums/index.php?posts/2188968
chapter | h3 | Chapter 3.10: Sekhenun's End | http://www.rpgcodex.net/forums/index.php?posts/2190106
chapter | h3 | Chapter 3.11: Learning | http://www.rpgcodex.net/forums/index.php?posts/2190677
chapter | h3 | Chapter 3.12: The World is Your Oyster | http://www.rpgcodex.net/forums/index.php?posts/2191430
chapter | h3 | Chapter 3.13: Egypt Aflame | http://www.rpgcodex.net/forums/index.php?posts/2191986
chapter | h3 | Chapter 3.14: A Dark Proposal | http://www.rpgcodex.net/forums/index.php?posts/2194363
chapter | h3 | Chapter 3.15: Astarth's Game | http://www.rpgcodex.net/forums/index.php?posts/2195417
chapter | h3 | Chapter 3.16: Babylon Strikes | http://www.rpgcodex.net/forums/index.php?posts/2196095
chapter | h3 | Chapter 3.17: Fortress Tjaru | http://www.rpgcodex.net/forums/index.php?posts/2197360
chapter | h3 | Chapter 3.18: The Night Before Battle | http://www.rpgcodex.net/forums/index.php?posts/2198278
chapter | h3 | Chapter 3.19: Solitary Scout | http://www.rpgcodex.net/forums/index.php?posts/2199728
chapter | h3 | Chapter 3.20: Deadly Desert Deathmatch | http://www.rpgcodex.net/forums/index.php?posts/2202184
chapter | h3 | Chapter 3.21: Battle for Tjaru | http://www.rpgcodex.net/forums/index.php?posts/2204233
chapter | h3 | Chapter 3.22: Hold the Wall | http://www.rpgcodex.net/forums/index.php?posts/2205781
chapter | h3 | Chapter 3.23: Dawn of the Middle Kingdom | http://www.rpgcodex.net/forums/index.php?posts/2208144

chapter | h2 | Chapter Four: Search for Power
chapter | h3 | Chapter 4.1: Setting Sail | http://www.rpgcodex.net/forums/index.php?posts/2216132
chapter | h3 | Chapter 4.2: Aphrodite | http://www.rpgcodex.net/forums/index.php?posts/2217621
chapter | h3 | Chapter 4.3: Vagaries of the Love Priestess | http://www.rpgcodex.net/forums/index.php?posts/2220247
chapter | h3 | Chapter 4.4: The Palace of Knossos | http://www.rpgcodex.net/forums/index.php?posts/2223330
chapter | h3 | Chapter 4.5: The Love Potion | http://www.rpgcodex.net/forums/index.php?posts/2224219
chapter | h3 | Chapter 4.6: A Tangled Web | http://www.rpgcodex.net/forums/index.php?posts/2226061
