title | Epic - Book Two: Inheritor of the Stars

author | treave

index

chapter | h2 | Prologue: Registration | http://www.rpgcodex.net/forums/index.php?posts/2435568

chapter | h2 | Interlude: A Brief History (4000 A.C.) | http://www.rpgcodex.net/forums/index.php?posts/2437192

chapter | h2 | Chapter One: School Days
chapter | h3 | Part 1 - Arrival in Olympia | http://www.rpgcodex.net/forums/index.php?posts/2437933
chapter | h3 | Part 2 - The First Night; The First Day | http://www.rpgcodex.net/forums/index.php?posts/2439449
chapter | h3 | Part 3 - Home Invasion | http://www.rpgcodex.net/forums/index.php?posts/2441212
chapter | h3 | Part 4 - Inheritor | http://www.rpgcodex.net/forums/index.php?posts/2442499
chapter | h3 | Part 5 - Home Invasion: Aftermath | http://www.rpgcodex.net/forums/index.php?posts/2444523
chapter | h3 | Part 6 - Relius Engura | http://www.rpgcodex.net/forums/index.php?posts/2447185
chapter | h3 | Part 7 - The Grand Olympus Hotel | http://www.rpgcodex.net/forums/index.php?posts/2448375
chapter | h3 | Part 8 - Relius's Room | http://www.rpgcodex.net/forums/index.php?posts/2449684
chapter | h3 | Part 9 - Fleeing the Grand Olympus | http://www.rpgcodex.net/forums/index.php?posts/2452314
chapter | h3 | Intermission: The Apostles of Hiranyagarbha | http://www.rpgcodex.net/forums/index.php?posts/2454533
chapter | h3 | Part 10 - The Old Leaves Bookstore | http://www.rpgcodex.net/forums/index.php?posts/2457426
chapter | h3 | Part 11 - Questions for a Bookstore Manager | http://www.rpgcodex.net/forums/index.php?posts/2458444
chapter | h3 | Part 12 - Julius Gallardo | http://www.rpgcodex.net/forums/index.php?posts/2460048
chapter | h3 | Part 13 - Capture | http://www.rpgcodex.net/forums/index.php?posts/2463648
chapter | h3 | Part 14 - Escape from the Laboratory | http://www.rpgcodex.net/forums/index.php?posts/2466416
chapter | h3 | Part 15 - In the Meantime | http://www.rpgcodex.net/forums/index.php?posts/2467318
chapter | h3 | Part 16 - In the Meantime (II) | http://www.rpgcodex.net/forums/index.php?posts/2468325
chapter | h3 | Part 17 - The Dunamis Coup | http://www.rpgcodex.net/forums/index.php?posts/2470228
chapter | h3 | Part 18 - Battle on the Stage | http://www.rpgcodex.net/forums/index.php?posts/2471628
chapter | h3 | Chapter End - Farewell Olympia | http://www.rpgcodex.net/forums/index.php?posts/2471753

chapter | h2 | Interlude: Space Colonies (4025 A.C.) | http://www.rpgcodex.net/forums/index.php?posts/2472764

chapter | h2 | Chapter Two: The Beginnings of Conflict
chapter | h3 | Part 1 - Late Again | http://www.rpgcodex.net/forums/index.php?posts/2473280
chapter | h3 | Part 2 - CF Anhur | http://www.rpgcodex.net/forums/index.php?posts/2475035
chapter | h3 | Part 3 - First Kill | http://www.rpgcodex.net/forums/index.php?posts/2476222
chapter | h3 | Part 4 - Mission Briefing | http://www.rpgcodex.net/forums/index.php?posts/2477226
chapter | h3 | Part 5 - Flight of the Kaguya-hime | http://www.rpgcodex.net/forums/index.php?posts/2478964
chapter | h3 | Part 6 - Crossroads | http://www.rpgcodex.net/forums/index.php?posts/2482621
chapter | h3 | Part 7 - Base 43 | http://www.rpgcodex.net/forums/index.php?posts/2484192
chapter | h3 | Part 8 - Mother Crab | http://www.rpgcodex.net/forums/index.php?posts/2492203
chapter | h3 | Part 9 - The Scarlet Lightning | http://www.rpgcodex.net/forums/index.php?posts/2494126
chapter | h3 | Intermission: Major Armed Forces of the World (4025 A.C.) | http://www.rpgcodex.net/forums/index.php?posts/2480130
chapter | h3 | Part 10 - Escorting The Spirit of Adventure | http://www.rpgcodex.net/forums/index.php?posts/2499141
chapter | h3 | Part 11 - Meeting Major | http://www.rpgcodex.net/forums/index.php?posts/2500695
chapter | h3 | Part 12 - Setting the Battlefield | http://www.rpgcodex.net/forums/index.php?posts/2502058
chapter | h3 | Part 13 - Colony Drop | http://www.rpgcodex.net/forums/index.php?posts/2505325
chapter | h3 | Part 14 - The Empress Strikes Back | http://www.rpgcodex.net/forums/index.php?posts/2507376
chapter | h3 | Part 15 - Lost | http://www.rpgcodex.net/forums/index.php?posts/2508878
chapter | h3 | Part 16 - State Funeral | http://www.rpgcodex.net/forums/index.php?posts/2512226
chapter | h3 | Part 17 - Conversation in a Funeral Hall | http://www.rpgcodex.net/forums/index.php?posts/2515642
chapter | h3 | Part 18 - Changing Conflict | http://www.rpgcodex.net/forums/index.php?posts/2517307
chapter | h3 | Chapter End - Return to the East | http://www.rpgcodex.net/forums/index.php?posts/2523237

chapter | h2 | Interlude: War Timeline | http://www.rpgcodex.net/forums/index.php?posts/2495219

chapter | h2 | Chapter Three: Higashi Cases
chapter | h3 | Part 1 - Working Life | http://www.rpgcodex.net/forums/index.php?posts/2523619
chapter | h3 | Part 2 - Case of the Missing Lawmaker, Act I | http://www.rpgcodex.net/forums/index.php?posts/2525276
chapter | h3 | Part 3 - Case of the Missing Lawmaker, Act II | http://www.rpgcodex.net/forums/index.php?posts/2529131
chapter | h3 | Part 4 - Case of the Missing Lawmaker, Act III | http://www.rpgcodex.net/forums/index.php?posts/2534916
chapter | h3 | Part 5 - Case of the Missing Lawmaker, Act IV | http://www.rpgcodex.net/forums/index.php?posts/2536719
chapter | h3 | Part 6 - Case of the Missing Lawmaker, Conclusion | http://www.rpgcodex.net/forums/index.php?posts/2538224
chapter | h3 | Part 7 - Case of the Cursed Songstress, Act I | http://www.rpgcodex.net/forums/index.php?posts/2541871
chapter | h3 | Part 8 - Case of the Cursed Songstress, Act II | http://www.rpgcodex.net/forums/index.php?posts/2547716
chapter | h3 | Part 9 - Case of the Cursed Songstress, Act III | http://www.rpgcodex.net/forums/index.php?posts/2549858
chapter | h3 | Part 10 - So You Messed Up and You're Now a Cyborg Ninja. Now What? | http://www.rpgcodex.net/forums/index.php?posts/2551201
chapter | h3 | Intermission: State of Technology (4026 A.C.) | http://www.rpgcodex.net/forums/index.php?posts/2552885
chapter | h3 | Part 11 - Reload: Case of the Cursed Songstress, Act IV | http://www.rpgcodex.net/forums/index.php?posts/2554705
chapter | h3 | Part 12 - Case of the Cursed Songstress, Act V | http://www.rpgcodex.net/forums/index.php?posts/2558242
