title | Warhammer: 41K
author | root

intro | intro.html

index

chapter | h2 | ACT 1:
chapter | h3 | Update I: IT IS BETTER TO DIE FOR THE EMPEROR THAN TO LIVE FOR YOURSELF | http://www.rpgcodex.net/forums/index.php?posts/1431614
chapter | h3 | Update II: IT IS BETTER TO DIE FOR THE EMPEROR THAN TO LIVE FOR YOURSELF PART DEUX | http://www.rpgcodex.net/forums/index.php?posts/1431792
chapter | h3 | Update III: IT IS BETTER TO DIE FOR THE EMPEROR THAN TO LIVE FOR YOURSELF PART TROIKA | http://www.rpgcodex.net/forums/index.php?posts/1431990
chapter | h3 | Update IV: IT WAS A DARK AND STORMY NIGHT | http://www.rpgcodex.net/forums/index.php?posts/1432809
chapter | h3 | Update V: DEPTHS OF DEPRAVITY | http://www.rpgcodex.net/forums/index.php?posts/1433292
chapter | h3 | Update VI: HE WHO FIGHTS MONSTERS | http://www.rpgcodex.net/forums/index.php?posts/1433640
chapter | h3 | Update VII: NO TIME LIKE THE PRESENT | http://www.rpgcodex.net/forums/index.php?posts/1434106
chapter | h3 | Update VIII: TOMBSTONE | http://www.rpgcodex.net/forums/index.php?posts/1434314
chapter | h3 | Update IX: IMPERIAL MARCH | http://www.rpgcodex.net/forums/index.php?posts/1434989
chapter | h3 | Update X: ENEMY AT THE GATES | http://www.rpgcodex.net/forums/index.php?posts/1435368
chapter | h3 | Update XI: EXTREME MEASURES | http://www.rpgcodex.net/forums/index.php?posts/1435620
chapter | h3 | Update XII: THE RIGHT CHOICE | http://www.rpgcodex.net/forums/index.php?posts/1436030
chapter | h3 | Update XIII: DEATHLESS LEGIONS | http://www.rpgcodex.net/forums/index.php?posts/1436265
chapter | h3 | Update XIV: FIRST TO FIGHT THE XENOS | http://www.rpgcodex.net/forums/index.php?posts/1437181
chapter | h3 | Update XV: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB | http://www.rpgcodex.net/forums/index.php?posts/1437455
chapter | h3 | Update XVI: SOMETHING ROTTEN IN THE IMPERIUM OF MAN | http://www.rpgcodex.net/forums/index.php?posts/1438989
chapter | h3 | Update XVII: THE BLACK SHIPS | http://www.rpgcodex.net/forums/index.php?posts/1441157
